dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"10/02 08:59","62070658","Дед Максим","1081094","Аль(182) Баб(170) Сел(192) Ясм(194) Лир(147) Тес(196)","10730027","gomako","1143216","Гал(208) К'А(192) Ясм(190) Ара(188) Пол(183) Хор(182)","35","Акс(9428) Мер(8518) Фен(8518) Оли(8518) Аль(11064)","Оли(11064) Мар(11064) Каи(11064) Аль(11064) Хор(11064)"
"10/02 08:53","61882163","Орел","859740","Хор(132) Дор(64) Авг(151) Ори(169) Неб(166) Дан(179)","10716775","Blue+6","1149867","Аст(194) Лир(186) Ясм(179) Джу(200) ЛаК(210) Аль(182)","35","Мер(5067) Акс(6954) Хор(7730)  ###  Каи(5076)","Бис(11064) Фен(11064)  ###  Век(11064) Мар(11064)"
"09/02 20:45","61991077","3ve","1065420","Акс(155) Эйд(154) ЛаК(215) Себ(169) Ясм(190) Лир(183)","61360289","Niceghost","1122734","Лир(170) Исм(207) Себ(181) ЛаК(202) Эйд(181) Акс(182)","35","Хор(8518) Век(6940) Аль(11064) Фен(9428) Оли(9428)","###  Фен(11064) Аль(11064) Мар(11064) Хор(11064)"
"09/02 20:32","62070651","Taifyn","1027551","Аль(182) Айр(197) Фла(126) Джу(170) Айз(153) Дан(200)","10533964","Darussalam","1189047","Руф(199) Ори(206) Айр(203) Дор(199) Баб(199) Акс(182)","35","Аль(11064) Акс(11064) Фен(10154) Оли(9440) Каи(11064)","Аль(11064) Мар(11064) Оли(11064) Мер(11064) Акс(11064)"
"09/02 17:37","61882140","ПасТырЪ","1113884","Хор(182) Фаф(165) Пол(177) Хай(202) Ами(195) Аст(193)","10823095","Darr","1158021","Лир(175) Исм(208) Себ(196) ЛаК(222) Эйд(175) Акс(182)","35","###  Мар(9450) Аль(11064) Акс(11064) Оли(11064)","###  Фен(11064) Аль(11064) Век(11064)  ###"
"09/02 17:16","61882140","ПасТырЪ","1116609","Хор(182) Дор(166) Авг(184) Ори(196) Неб(184) Дан(205)","10646773","Stophi","1188285","Авр(209) Ори(206) Айр(213) Дор(172) Гел(206) Мер(182)","35","Акс(11064) Аль(11064) Мер(5683)  ###  Каи(11064)","Каи(11064) Хор(11064) Аль(11064) Акс(11064) Мер(11064)"
"09/02 17:12","61882140","ПасТырЪ","1123924","Акс(182) Эйд(174) Себ(197) Айз(190) Кир(189) Кей(192)","22269635","Le_Nam","1141784","Эле(191) Кас(179) Ори(207) Авг(193) Тея(188) Мер(182)","35","Мер(5683) Фен(7804) Мар(9450) Век(11064) Аль(11064)","Оли(11064)  ###  Мер(11064) Аль(11064)  ###"
"09/02 14:29","61882156","3.14_ZDETS","1132292","Акс(182) ЛаК(199) Себ(191) Три(187) Лир(183) Гал(191)","11144301","MR Pi","1136187","Крв(181) Лир(181) Мор(175) Себ(200) ЛаК(217) Хор(182)","35","Век(9018) Аль(11064) Фен(7965) Бис(5417) Оли(11064)","Аль(11064) Бис(11064) Акс(11064) Фен(11064) Век(11064)"
"09/02 14:15","62070560","iCool","875309","Хор(172) Баб(140) Фаф(111) ЛаК(102) Неб(159) Дан(191)","12743104","UAI.BR","1207787","Юли(212) Джу(204) Себ(202) ЛаК(207) Тея(201) Век(182)","35","Акс(10154) Оли(8880) Мар(5347)  ###  Каи(8518)","Акс(11064) Век(11064) Фен(11064)  ###  Мер(11064)"
"09/02 14:09","62070560","iCool","766246","Хор(172) Фла(98) Кас(140) Сел(103) Ара(120) Эле(133)","10698296","vietnam tham to","1149425","Аст(193) Ами(202) Неб(205) Эйд(182) Пол(185) Оли(182)","35","Хор(10154) Мер(10154) Акс(10154) Мар(5347) Оли(8880)","Бис(11064) Акс(11064) Каи(11064)  ###  Мар(11064)"
